name,brand_name,class,subtype,dose,cost_estimate,default_score,summary,first_line,outcomes,cost,simple_dosing,pregnancy,kidney,heart_failure,afib,asthma,orthostatic,cough,edema,urination,older_adults
Lisinopril,"or enalapril, benazepril, ramipril, quinapril",ACE inhibitor,stage1,10-40 mg daily,$4-10,5,"One of the three preferred openers. The members of this class are interchangeable for blood pressure; pick on cost and formulary. About one in ten people get a dry cough, and angioedema is rare but can be dangerous.",5,5,5,5,1,5,5,2,4,4,1,5,5,4
Losartan,"or valsartan, olmesartan, telmisartan, irbesartan, candesartan",ARB,stage1,50-100 mg daily,$4-12,5,"Does what an ACE inhibitor does without the cough or the angioedema risk, which is most of the reason people end up here. Interchangeable within the class, though telmisartan has the longest half-life and forgives a late dose.",5,5,5,5,1,5,4,2,5,4,5,5,5,4
Amlodipine,or nifedipine ER or felodipine,Dihydropyridine CCB,stage1,5-10 mg daily,$4-10,5,"The preferred opener when pregnancy is possible, and the one least likely to cause dizziness on standing. Ankle swelling is the common reason people stop it. Amlodipine is the cheapest and longest acting of the group.",5,5,5,5,5,3,3,2,5,5,5,1,5,4
Chlorthalidone,or indapamide,Thiazide-like diuretic,stage1,12.5-25 mg daily,$4-12,4,"The diuretic worth using: more potent and much longer acting than hydrochlorothiazide. Chlorthalidone and indapamide are interchangeable, though indapamide is less widely stocked. Expect more urination and periodic electrolyte checks.",4,5,5,5,3,3,4,2,5,2,5,5,1,3
Hydrochlorothiazide,Microzide,Thiazide-type diuretic,stage1,12.5-25 mg daily,$4-10,3,"The most prescribed diuretic and the weakest of them, lasting 6 to 12 hours rather than a full day. Its real advantage is that it comes in almost every combination pill.",3,4,5,5,3,3,3,2,5,3,5,5,2,3
Metoprolol succinate,Toprol XL,Beta blocker (cardioselective),stage1,25-200 mg daily,$8-20,2,"Not a first-line blood pressure drug on its own. It earns its place with heart failure, atrial fibrillation, or a recent heart attack, and it is the beta blocker least likely to trouble the airways.",2,3,4,5,4,2,5,5,3,4,5,4,5,3
Carvedilol,Coreg,Beta blocker (non-selective),stage1,6.25-25 mg twice daily,$4-15,2,"Reserved for heart failure or recent myocardial infarction. Non-selective, so avoid it in asthma. Twice daily, and more dizziness on standing than metoprolol.",2,3,5,2,4,2,5,4,1,2,5,4,5,2
Labetalol,Trandate,Beta blocker (non-selective),stage1,100-400 mg twice daily,$10-25,2,"The beta blocker with the best-established fetal safety record, so it is the one used in and around pregnancy. Non-selective and twice daily.",2,3,4,2,5,2,3,4,2,2,5,4,5,2
Diltiazem ER,Cardizem CD,Non-dihydropyridine CCB,stage1,180-360 mg daily,$10-30,2,"Chosen for rate control in atrial fibrillation rather than for blood pressure alone. Avoid in heart failure with reduced ejection fraction, and never pair it with a beta blocker.",2,3,4,5,3,3,1,5,5,4,5,3,5,3
Amlodipine + valsartan,"Exforge; also Azor, Twynsta",ARB + CCB single pill,stage2,5 mg / 160 mg daily,$15-40,5,"The preferred pairing without the ACE inhibitor cough. The ARB and CCB versions of this combination are interchangeable, so choose on formulary and price.",5,4,3,5,1,5,4,2,5,4,5,2,5,4
Amlodipine + benazepril,Lotrel; also Prestalia,ACE inhibitor + CCB single pill,stage2,5 mg / 20 mg daily,$10-25,5,"The combination with the best outcome data. In ACCOMPLISH it beat an ACE inhibitor with hydrochlorothiazide on cardiovascular and kidney events. Prestalia is the same idea at several times the price.",5,5,4,5,1,5,4,2,4,4,1,2,5,4
ARB + hydrochlorothiazide,"Hyzaar, Diovan HCT, Benicar HCT, Micardis HCT",ARB + thiazide single pill,stage2,50 mg / 12.5 mg daily,$4-25,4,"The cheap combination without the cough, and a reasonable default when a diuretic is wanted and cost matters. The four branded versions are interchangeable; losartan and valsartan have generics.",4,4,5,5,1,4,4,2,5,2,5,5,2,3
ACE inhibitor + hydrochlorothiazide,"Zestoretic, Lotensin HCT",ACE inhibitor + thiazide single pill,stage2,20 mg / 12.5 mg daily,$4-15,4,"The cheapest combination on the list by a wide margin, which is often the deciding factor. The diuretic half is the weak one.",4,5,5,5,1,4,4,2,4,2,1,5,2,3
Azilsartan + chlorthalidone,Edarbyclor,ARB + thiazide-like single pill,stage2,40 mg / 12.5 mg daily,$60-150,4,"The only single pill that pairs a renin-angiotensin blocker with the diuretic actually worth using. Many pharmacies do not stock it and there is no generic.",5,4,1,5,1,4,4,2,5,2,5,5,1,3
Lisinopril + chlorthalidone,Separate tablets,ACE inhibitor + thiazide-like diuretic,stage2,20 mg and 12.5 mg daily,$8-20,4,"Not a combination pill. This is what you write when you want the better diuretic, since almost no single pill pairs chlorthalidone with an ACE inhibitor. Two tablets costs adherence.",5,5,5,2,1,5,4,2,4,2,1,5,1,3
Amlodipine + chlorthalidone,Separate tablets,CCB + thiazide-like diuretic,stage2,5 mg and 12.5 mg daily,$8-20,3,"Effective, and the pairing to use when an ACE inhibitor and an ARB are both off the table. No single-pill version exists.",4,4,5,2,4,3,3,2,5,3,5,2,1,3
Amlodipine + valsartan + hydrochlorothiazide,Exforge HCT; also Tribenzor,ARB + CCB + thiazide single pill,stage2,5 mg / 160 mg / 12.5 mg daily,$20-70,2,"A three-drug pill. Reasonable as a step up, but starting here means you cannot tell which component caused a side effect.",3,3,3,5,1,4,4,2,5,2,5,3,2,2
Amlodipine alone,Norvasc,Dihydropyridine CCB,stage2,5-10 mg daily,$4-10,3,"Single-drug option for stage 2 when combination therapy is the greater risk: frailty, age over 75, dizziness on standing, or a history of several drug intolerances.",3,5,5,5,5,3,3,2,5,5,5,1,5,5
Lisinopril alone,Zestril,ACE inhibitor,stage2,10-40 mg daily,$4-10,3,"Single-drug option for stage 2 in someone at high risk of side effects, or where kidney disease with proteinuria makes this the drug you want to titrate on its own.",3,5,5,5,1,5,5,2,4,4,1,5,5,4
Losartan alone,Cozaar,ARB,stage2,50-100 mg daily,$4-12,3,"Single-drug option for stage 2 in someone at high risk of side effects. Adding a second agent later is straightforward.",3,5,5,5,1,5,4,2,5,4,5,5,5,4
