name,brand_name,class,subtype,cost_estimate,default_score,summary,evidence,as_needed,sexual,sleep,alert,weight,no_dependence,discontinuation,interactions,gi,pregnancy,depression,older_adults
Escitalopram,Lexapro,SSRI,panic,$4-12,5,"A first-line choice for panic. Start at 5 mg, half the usual depression dose, because panic makes people unusually sensitive to early overstimulation.",5,1,2,3,4,3,5,3,4,3,4,5,4
Escitalopram,Lexapro,SSRI,gad,$4-12,5,"A first-line choice for generalized anxiety, with placebo-controlled trial support and few drug interactions.",5,1,2,3,4,3,5,3,4,3,4,5,4
Sertraline,Zoloft,SSRI,panic,$4-12,5,A first-line choice for panic. Start at 25 mg and titrate slowly; more diarrhea and early agitation than most SSRIs.,5,1,2,2,5,4,5,3,5,2,5,5,5
Sertraline,Zoloft,SSRI,gad,$4-12,5,"A first-line choice for generalized anxiety, with the most reassuring pregnancy data and very few interactions.",5,1,2,2,5,4,5,3,5,2,5,5,5
Paroxetine,Paxil,SSRI,panic,$4-15,5,"Effective for panic and mildly sedating, which some people prefer early on. Withdrawal is difficult without a slow taper.",5,1,1,4,3,2,5,1,2,3,2,5,2
Paroxetine,Paxil,SSRI,gad,$4-15,5,"The most extensively trialled SSRI for generalized anxiety. Weight gain, sexual side effects, and withdrawal are the main drawbacks.",5,1,1,4,3,2,5,1,2,3,2,5,2
Fluoxetine,Prozac,SSRI,panic,$4-12,5,"Effective for panic but activating, so start at 5 mg. The long half-life means missed doses and stopping are far more forgiving.",5,1,2,1,5,4,5,5,1,3,4,5,3
Fluoxetine,Prozac,SSRI,gad,$4-12,4,Widely used for generalized anxiety on the strength of open trials and practice rather than placebo-controlled trials.,4,1,2,1,5,4,5,5,1,3,4,5,3
Citalopram,Celexa,SSRI,panic,$4-12,5,"Effective for panic with few interactions. Doses above 40 mg, or 20 mg over age 60, raise QT-interval concerns.",5,1,2,3,4,2,5,3,4,3,4,5,3
Citalopram,Celexa,SSRI,gad,$4-12,5,"Effective for generalized anxiety with few interactions, but more weight gain than fluoxetine and a dose ceiling for QT.",5,1,2,3,4,2,5,3,4,3,4,5,3
