domain,id,label,icon,description
depression,sexual,Low Sexual|Side Effects,1F496,"Minimizes risk of decreased libido, difficulty with orgasm, or erectile dysfunction"
depression,sleep,Helpful|for Sleep,1F31B,Provides sedation that can help with insomnia and sleep difficulties
depression,weight,Low Weight|Gain,2696 FE0F,Minimizes risk of weight gain during treatment
depression,anxiety,Helps with|Anxiety,1F9D8,Effective for co-occurring anxiety symptoms and anxiety disorders
depression,pain,Helps with|Pain,1F4AA,"Can help with chronic pain conditions, especially neuropathic pain"
depression,energy,More|Energy,26A1,"Provides activating effects for fatigue, low energy, or hypersomnia"
depression,seasonal,Works for|Winter SAD,2744 FE0F,"Has direct trial evidence in winter seasonal affective disorder, or is a treatment specific to it"
depression,pregnancy,Safer in|Pregnancy,1F930,Has the most reassuring safety data for use during pregnancy
depression,breastfeeding,Safer for|Breastfeeding,1F931,Has the most reassuring safety data for use while breastfeeding
depression,gi,Low GI|Side Effects,1F34E,"Minimizes nausea, diarrhea, and other gastrointestinal side effects"
depression,discontinuation,Easier|to Stop,1F513,Lower risk of withdrawal symptoms when discontinuing the medication
depression,interactions,Fewer Drug|Interactions,1F48A,Less likely to interfere with other medications you may be taking
depression,pediatric,Better for|Pediatrics,1F9D2,Has evidence of efficacy and safety in children and adolescents
depression,older_adults,Better for|Older Adults,1F9D3,"Well-suited for adults 65 and older, considering tolerability and safety"
anxiety,evidence,Strongest|Evidence,1F4D6,Has the most randomized trial evidence for this particular anxiety condition
anxiety,as_needed,Works Fast|As Needed,26A1,"Starts working within hours, so it can be taken before a speech, flight, or exam rather than every day"
anxiety,sexual,Low Sexual|Side Effects,1F496,"Minimizes risk of decreased libido, difficulty with orgasm, or erectile dysfunction"
anxiety,sleep,Helpful|for Sleep,1F31B,Provides sedation that can help with insomnia and night-time worry
anxiety,alert,Low Daytime|Drowsiness,2600 FE0F,Less likely to cause sedation or slowed thinking during the day
anxiety,weight,Low Weight|Gain,2696 FE0F,Minimizes risk of weight gain during treatment
anxiety,no_dependence,No Dependence|or Misuse,1F6E1 FE0F,"No tolerance or physical dependence with continued use, and low misuse potential for people with a history of substance use"
anxiety,discontinuation,Easier|to Stop,1F513,Lower risk of withdrawal symptoms when discontinuing the medication
