name,brand_name,class,subtype,dose,cost_estimate,default_score,summary,effectiveness,no_daily,self_stop,no_hormones,no_estrogen,lighter,predictable,quick_return,private,sti,cramps_acne,cost
Levonorgestrel IUD,Mirena or Kyleena,Intrauterine device,all,In place up to 8 years,"$0-1,300",5,"Among the most effective options and the one that most reliably lightens or stops periods. Insertion is uncomfortable, and it takes a clinician to put in and to take out.",5,5,1,1,5,5,2,5,4,1,4,4
Copper IUD,Paragard,Intrauterine device,all,In place up to 12 years,"$0-1,300",4,"Hormone-free and the most effective emergency contraception if placed within five days. Periods usually get heavier and crampier, especially the first year.",5,5,1,5,5,1,3,5,4,1,1,4
Etonogestrel implant,Nexplanon,Implant,all,Replaced every 5 years,"$0-1,300",5,"A rod under the skin of the upper arm. As effective as an IUD without a pelvic procedure. Bleeding becomes unpredictable, which is the usual reason people ask for removal.",5,5,1,1,5,4,1,5,4,1,2,4
Progestin injection,Depo-Provera,Injection,all,Every 12 to 13 weeks,$0-150,3,"Nothing to think about between visits and completely undetectable. Fertility can take months to return, and bone density falls while on it.",4,4,3,1,5,5,2,2,5,1,3,4
Combined pill,Many generics,Daily pill,all,One tablet daily,$0-20,4,"The generic estrogen-plus-progestin pill. Predictable cycles and real benefits for acne and cramps, but it has to be taken every day. Switch to the pills view to compare formulations.",3,1,4,1,1,3,5,5,3,1,5,5
Progestin-only pill,Many generics,Daily pill,all,One tablet daily,$0-20,3,"The estrogen-free daily pill, usable when estrogen is off the table. Timing matters more than with a combined pill, and bleeding is less predictable.",2,1,4,1,5,2,1,5,3,1,2,5
Contraceptive patch,Xulane or Twirla,Patch,all,New patch weekly for 3 weeks,$0-40,3,"Weekly instead of daily. It is visible on the skin, and it may work less well at a BMI over 30.",3,3,4,1,1,3,5,5,2,1,4,4
Vaginal ring,NuvaRing or Annovera,Ring,all,3 weeks in and 1 week out,$0-50,3,"Placed and removed by the user, once a month. Annovera lasts a full year. A partner may be able to feel it.",3,3,4,1,1,3,5,5,3,1,4,3
External condom,Various,Barrier,all,One per act of sex,$0-15,3,"The only method here that also prevents sexually transmitted infection, which is why it is often used alongside something else rather than instead of it.",2,2,5,5,5,1,5,5,1,5,1,5
Internal condom,Various,Barrier,all,One per act of sex,$10-30,2,"Also prevents infection, and can be inserted ahead of time. Less effective at preventing pregnancy than an external condom and harder to find.",1,2,5,5,5,1,5,5,2,5,1,3
