name,brand_name,class,cost_estimate,generic_score,sexual,sleep,weight,anxiety,pain,energy,pregnancy,gi,discontinuation,interactions,pediatric,older_adults,breastfeeding,summary
Sertraline,Zoloft,SSRI,$4,5,2,2,4,5,2,3,5,2,3,4,4,5,5,"A well-studied SSRI often considered first-line. Generally well-tolerated with the most pregnancy and breastfeeding safety data. Good for anxiety."
Escitalopram,Lexapro,SSRI,$10,5,2,2,4,5,2,3,4,4,3,5,4,4,4,"An SSRI known for good tolerability and very few drug interactions. Effective for both depression and anxiety with a clean side-effect profile."
Fluoxetine,Prozac,SSRI,$9,5,2,1,5,4,2,4,4,4,5,2,5,3,3,"The longest-acting SSRI, making it easiest to stop. First-line for children and adolescents. Energizing and weight-neutral, but inhibits CYP2D6."
Citalopram,Celexa,SSRI,$7,4,2,2,4,4,2,3,4,4,3,4,4,3,3,"An SSRI similar to escitalopram with few drug interactions. Note: doses limited to 20 mg/day in adults over 60 due to heart rhythm concerns."
Fluvoxamine,Luvox,SSRI,$15,3,2,3,4,4,2,2,3,4,3,1,2,2,3,"An SSRI commonly used for OCD. More sedating than other SSRIs. A potent CYP1A2 and CYP2C19 inhibitor, causing many drug interactions."
Paroxetine,Paxil,SSRI,$10,3,1,3,2,4,2,2,2,4,1,2,1,2,4,"An SSRI that is mildly sedating but has highest sexual side effects, weight gain, and discontinuation symptoms. Avoid in pregnancy and pediatrics."
Bupropion,Wellbutrin,Atypical,$15,4,5,1,5,1,1,5,2,4,4,2,2,4,2,"An atypical antidepressant that is energizing, weight-neutral, and has no sexual side effects. Not helpful for anxiety or pain. Good for smoking cessation."
Mirtazapine,Remeron,Atypical,$8,3,4,5,1,3,2,1,2,5,4,5,2,4,2,"A sedating antidepressant that helps with sleep and appetite. Good for patients who need to gain weight. Causes the most weight gain. Few drug interactions."
Duloxetine,Cymbalta,SNRI,$12,4,4,1,4,4,5,3,2,3,2,2,2,4,2,"An SNRI with FDA approval for several pain conditions. Good choice when depression co-occurs with chronic pain. Inhibits CYP2D6."
Venlafaxine,Effexor,SNRI,$12,4,2,1,4,4,4,3,3,3,1,4,3,3,3,"An SNRI effective for depression, anxiety, and pain. Can raise blood pressure at higher doses. Difficult to discontinue. Few drug interactions."
Vortioxetine,Trintellix,Serotonin Modulator,$300+,4,4,1,5,3,1,4,1,1,3,4,1,3,1,"A newer serotonin modulator with low sexual side effects and possible cognitive benefits. Brand-only, so very expensive. Can cause significant nausea."
Vilazodone,Viibryd,Serotonin Modulator,$30,3,4,1,5,3,1,3,1,1,3,4,1,2,1,"A newer serotonin modulator with lower sexual side effects. Must be taken with food. Can cause significant nausea and diarrhea. Generic now available."
Desvenlafaxine,Pristiq,SNRI,$25,3,4,1,3,3,3,3,1,3,1,5,1,3,1,"An SNRI (active metabolite of venlafaxine) with very few drug interactions. Similar efficacy but also similar discontinuation concerns as venlafaxine."
Trazodone,Desyrel,Serotonin Modulator,$4,2,4,5,4,3,1,1,2,4,4,3,1,2,3,"Primarily used at low doses as a sleep aid alongside another antidepressant. At full antidepressant doses, sedation and orthostasis limit use. Rare priapism risk."
Nortriptyline,Pamelor,Tricyclic (TCA),$10,2,3,4,4,3,4,2,2,4,3,2,1,2,3,"A tricyclic antidepressant useful for pain and sometimes used when newer agents fail. Requires blood level monitoring. Anticholinergic effects and dangerous in overdose."
Levomilnacipran,Fetzima,SNRI,$40,2,4,1,5,2,3,3,1,3,3,4,1,2,1,"An SNRI with a focus on norepinephrine. May help with fatigue and motivation. Can cause urinary hesitancy. Few drug interactions but limited data overall."
