name,brand_name,class,subtype,dose,cost_estimate,default_score,add_on,summary,ldl_lowering,outcomes,cost,muscle,cognitive,diabetes,gi,oral,interactions,pregnancy,older_adults
Atorvastatin,Lipitor,Statin,high,40-80 mg daily,$4-12,5,0,"The default when you need LDL cut by half or more. Cheap, heavily trialled, and the dose can be walked back to moderate without changing drugs.",5,5,5,2,3,2,4,5,3,1,3
Rosuvastatin,Crestor,Statin,high,20-40 mg daily,$8-15,5,0,"Matches atorvastatin at lower milligram doses. Water-soluble, so it enters the brain less and leans less on CYP3A4.",5,5,4,2,4,2,4,5,4,1,3
Evolocumab,Repatha,PCSK9 inhibitor,high,140 mg every 2 weeks,$450-650,3,1,"Cuts LDL by about 60 percent and reduced events in high-risk diabetes on top of a statin. Injected, and priced accordingly.",5,4,1,5,5,5,5,1,5,2,4
Alirocumab,Praluent,PCSK9 inhibitor,high,75-150 mg every 2 weeks,$450-650,2,1,"Lowers LDL as much as evolocumab, but no primary prevention outcomes trial has been run for it.",5,2,1,5,5,5,5,1,5,2,3
Inclisiran,Leqvio,siRNA,high,284 mg twice yearly,~$500/mo equivalent,2,1,"Two injections a year solves adherence outright, but there is no cardiovascular outcomes trial yet.",4,1,1,5,5,5,5,2,5,2,3
Atorvastatin,Lipitor,Statin,moderate,10-20 mg daily,$4-12,5,0,The usual starting point for most people at intermediate or high risk. Easy to step up to high intensity if LDL does not fall far enough.,4,5,5,3,4,3,4,5,3,1,4
Rosuvastatin,Crestor,Statin,moderate,5-10 mg daily,$8-15,5,0,A good moderate-intensity choice when the interaction list is long or memory complaints are the worry.,4,5,4,3,5,3,4,5,4,1,4
Simvastatin,Zocor,Statin,moderate,20-40 mg daily,$4-10,4,0,"Solid outcome data at low cost, but the most interaction-prone statin and capped at 40 mg because of muscle risk.",3,5,5,3,3,3,4,5,2,1,4
Pravastatin,Pravachol,Statin,moderate,40-80 mg daily,$4-12,4,0,"Not metabolized through CYP3A4 and water-soluble. The usual pick after a bad reaction to a stronger statin, or when polypharmacy is the constraint.",3,5,5,4,5,4,5,5,5,1,5
Lovastatin,Mevacor,Statin,moderate,40 mg with evening meal,$4-15,3,0,"The oldest statin, still effective and cheap, but food-dependent absorption and CYP3A4 interactions have pushed it aside.",3,4,5,3,3,3,4,5,2,1,3
Fluvastatin,Lescol XL,Statin,moderate,80 mg daily,$15-35,3,0,"Weak on LDL for a moderate-intensity agent, kept in reserve for people who could not tolerate the others.",3,3,3,4,4,4,3,5,4,1,3
Pitavastatin,Livalo,Statin,moderate,2-4 mg daily,$15-40,3,0,"Notably neutral on blood glucose, which makes it worth considering in prediabetes. Thinner outcome evidence and no cheap generic.",3,3,2,4,4,5,4,5,4,1,4
Ezetimibe,Zetia,Cholesterol absorption inhibitor,low,10 mg daily,$8-20,5,1,"The first thing to try for anyone who will not or cannot take a statin. No muscle, glucose, or cognitive penalty, and it cut events on its own in adults over 75.",2,4,5,5,5,5,5,5,5,2,5
Pravastatin,Pravachol,Statin,low,10-20 mg daily,$4-12,4,0,"About as gentle as a statin gets. A reasonable place to restart after intolerance, or to run every other day.",2,5,5,5,5,5,5,5,5,1,5
Bempedoic acid,Nexletol,ACL inhibitor,low,180 mg daily,$350-450,3,1,"Activated only in the liver, so it spares muscle entirely, and it reduced events in the primary prevention arm of CLEAR Outcomes. Gout, gallstones, and rising creatinine are the cost.",2,4,2,5,5,5,4,5,3,1,3
Simvastatin,Zocor,Statin,low,10 mg daily,$4-10,3,0,"A low-dose fallback with good outcome data behind the drug, though the interaction profile does not improve at lower doses.",2,4,5,4,4,4,5,5,2,1,4
Lovastatin,Mevacor,Statin,low,20 mg with evening meal,$4-15,3,0,"Cheap and mild, but it has to be taken with food and it interacts through CYP3A4.",2,4,5,4,4,4,4,5,2,1,3
Fluvastatin,Lescol,Statin,low,20-40 mg daily,$15-35,3,0,"The gentlest statin on muscle, which is most of the reason to pick it. Little LDL reduction in return, and 40 mg is taken twice daily.",2,3,3,5,4,4,4,5,4,1,3
Pitavastatin,Livalo,Statin,low,1 mg daily,$15-40,3,0,A low-dose option that leaves blood glucose alone. Expensive for the LDL reduction it delivers.,2,3,2,5,4,5,5,5,4,1,4
Colesevelam,Welchol,Bile acid sequestrant,low,3.75 g daily,$30-90,2,1,"Not absorbed into the bloodstream, which makes it the option that can be used during pregnancy. Six tablets a day, real GI side effects, no outcomes trial.",1,1,3,5,5,5,1,5,2,5,2
